index;Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes  CCS e SCR;Quantidade de clientes  CCS;Quantidade de clientes  SCR;Unnamed: 14
36;2021;1º;Grupo Secundário;Conglomerado; ;BMG (conglomerado);165,20;1190;644;251;2085;7202992;3421046;5072090;
37;2021;1º;Grupo Secundário;Conglomerado; ;BNP PARIBAS (conglomerado);181,98;447;250;90;787;2456247;12581;2444170;
38;2021;1º;Grupo Secundário;Conglomerado; ;BNY MELLON (conglomerado); ;0;0;1;1;3744;3744; ;
39;2021;1º;Top 10;Conglomerado; ;BRADESCO (conglomerado);22,78;2248;3913;2591;8752;98648524;89718703;43974719;
40;2021;1º;Grupo Secundário;Conglomerado; ;BRB (conglomerado);107,93;120;149;140;409;1111807;999840;498848;
41;2021;1º;Grupo Secundário;Conglomerado; ;BTG PACTUAL (conglomerado); ;29;44;60;133;766998;679113;147461;
42;2021;1º;Grupo Secundário;Conglomerado; ;C6 BANK (conglomerado);979,53;5940;598;207;6745;6064085;5139889;1748590;
43;2021;1º;Top 10;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);36,20;5263;6341;4920;16524;145367310;143826538;22933543;
44;2021;1º;Grupo Secundário;Banco/financeira;09313766;CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;1;2;1;4;71736;65584;11640;
45;2021;1º;Grupo Secundário;Conglomerado; ;CCB (conglomerado); ;10;126;15;151;224649;3762;221472;
46;2021;1º;Grupo Secundário;Conglomerado; ;CITIBANK (conglomerado); ;1;11;2;14;17612;16889;1620;
47;2021;1º;Grupo Secundário;Conglomerado; ;COLOMBO (conglomerado); ;0;3;1;4;331101; ;331101;
48;2021;1º;Grupo Secundário;Conglomerado; ;CREFISA (conglomerado); ;25;184;52;261;2255383;1184391;1562138;
49;2021;1º;Grupo Secundário;Conglomerado; ;DAYCOVAL (conglomerado);274,48;331;400;113;844;1205882;138048;1094686;
50;2021;1º;Grupo Secundário;Banco/financeira;62331228;DEUTSCHE BANK S.A. - BANCO ALEMAO; ;0;1;0;1;2112;2093;164;
51;2021;1º;Grupo Secundário;Banco/financeira;15581638;FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;620,55;70;151;3;224;112802;664;112141;
52;2021;1º;Grupo Secundário;Banco/financeira;00411939;FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO; ;0;2;3;5;87041;1715;85381;
53;2021;1º;Grupo Secundário;Conglomerado; ;FINAXIS (conglomerado); ;0;1;0;1;4066;4066; ;
54;2021;1º;Grupo Secundário;Conglomerado; ;GENIAL (conglomerado); ;5;3;2;10;16008;16003;35;
55;2021;1º;Grupo Secundário;Conglomerado; ;GM (conglomerado); ;5;14;23;42;309105;473;308711;
56;2021;1º;Grupo Secundário;Conglomerado; ;GRUPO BONSUCESSO - BS2 (conglomerado);105,42;82;162;83;327;777801;771754;17097;
57;2021;1º;Grupo Secundário;Conglomerado; ;GRUPO ZEMA (conglomerado); ;1;4;4;9;439232;570;438672;
58;2021;1º;Grupo Secundário;Conglomerado; ;HERVAL - HS (conglomerado); ;3;7;0;10;213321;13314;202222;
59;2021;1º;Grupo Secundário;Conglomerado; ;HONDA (conglomerado); ;0;3;6;9;443975;101;443942;
